wals code	name	value	description	latitude	longitude	genus	family	area
ace	Acehnese	1	Trochaic	5.5	95.5	Malayo-Sumbawan	Austronesian	Phonology
agu	Aguacatec	5	No rhythmic stress	15.4166666667	-91.3333333333	Mayan	Mayan	Phonology
akl	Aklanon	2	Iambic	11.5833333333	122.333333333	Greater Central Philippine	Austronesian	Phonology
aln	Alune	5	No rhythmic stress	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Phonology
atq	Alutiiq	4	Undetermined	57.0	-157.0	Eskimo	Eskimo-Aleut	Phonology
aly	Alyawarra	1	Trochaic	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Phonology
ame	Amele	5	No rhythmic stress	-5.25	145.583333333	Mabuso	Trans-New Guinea	Phonology
agt	Anguthimri	1	Trochaic	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
apu	Apurinã	1	Trochaic	-9.0	-67.0	Purus	Arawakan	Phonology
abe	Arabic (Beirut)	1	Trochaic	33.9166666667	35.5	Semitic	Afro-Asiatic	Phonology
ael	Arabic (Eastern Libyan)	2	Iambic	32.0	22.0	Semitic	Afro-Asiatic	Phonology
aeg	Arabic (Egyptian)	1	Trochaic	30.0	31.0	Semitic	Afro-Asiatic	Phonology
arv	Arabic (Negev)	1	Trochaic	30.5	34.75	Semitic	Afro-Asiatic	Phonology
apa	Arabic (Palestinian)	1	Trochaic	32.0	35.25	Semitic	Afro-Asiatic	Phonology
asy	Arabic (Syrian)	1	Trochaic	34.0	38.0	Semitic	Afro-Asiatic	Phonology
arc	Archi	5	No rhythmic stress	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	4	Undetermined	40.0	45.0	Armenian	Indo-European	Phonology
awe	Arrernte (Western)	1	Trochaic	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Phonology
asm	Asmat	2	Iambic	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Phonology
ava	Avar	5	No rhythmic stress	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
awd	Awadhi	5	No rhythmic stress	27.5	81.5	Indic	Indo-European	Phonology
awt	Awtuw	1	Trochaic	-3.58333333333	142.0	Ram	Sepik	Phonology
bdm	Badimaya	1	Trochaic	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
bgv	Bagvalal	5	No rhythmic stress	42.5833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
blk	Balantak	1	Trochaic	-0.833333333333	123.25	Celebic	Austronesian	Phonology
bbm	Bambam	5	No rhythmic stress	-3.08333333333	119.083333333	South Sulawesi	Austronesian	Phonology
bna	Banawá	1	Trochaic	-7.0	-65.0	Arauan	Arauan	Phonology
bwa	Bandjalang (Waalubal)	4	Undetermined	-29.0833333333	152.583333333	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
bgg	Banggai	4	Undetermined	-1.41666666667	123.166666667	Celebic	Austronesian	Phonology
bnt	Bantik	5	No rhythmic stress	1.41666666667	124.75	Sangiric	Austronesian	Phonology
bsk	Bashkir	5	No rhythmic stress	53.0	58.0	Turkic	Altaic	Phonology
bqi	Basque (Basaburua and Imoz)	4	Undetermined	43.0	-1.66666666667	Basque	Basque	Phonology
