wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	No case marking	-29.0	-61.0	Abipon	Guaicuruan	Morphology
abk	Abkhaz	1	No case marking	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Morphology
aco	Acoma	1	No case marking	34.9166666667	-107.583333333	Keresan	Keresan	Morphology
ain	Ainu	1	No case marking	43.0	143.0	Ainu	Ainu	Morphology
ala	Alamblak	1	No case marking	-4.66666666667	143.333333333	Sepik Hill	Sepik	Morphology
ame	Amele	1	No case marking	-5.25	145.583333333	Mabuso	Trans-New Guinea	Morphology
apu	Apurinã	1	No case marking	-9.0	-67.0	Purus	Arawakan	Morphology
aeg	Arabic (Egyptian)	1	No case marking	30.0	31.0	Semitic	Afro-Asiatic	Morphology
ana	Araona	3	Core and non-core	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Morphology
arp	Arapesh (Mountain)	1	No case marking	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Morphology
arm	Armenian (Eastern)	3	Core and non-core	40.0	45.0	Armenian	Indo-European	Morphology
asm	Asmat	1	No case marking	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Morphology
awp	Awa Pit	1	No case marking	1.5	-78.25	Barbacoan	Barbacoan	Morphology
aym	Aymara (Central)	1	No case marking	-17.0	-69.0	Aymaran	Aymaran	Morphology
bag	Bagirmi	1	No case marking	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Morphology
bam	Bambara	1	No case marking	12.5	-7.5	Western Mande	Mande	Morphology
brs	Barasano	1	No case marking	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Morphology
bsq	Basque	2	Core cases only	43.0	-3.0	Basque	Basque	Morphology
bkr	Batak (Karo)	1	No case marking	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Morphology
baw	Bawm	4	No syncretism	22.5	92.25	Kuki-Chin	Sino-Tibetan	Morphology
bej	Beja	1	No case marking	18.0	36.0	Beja	Afro-Asiatic	Morphology
bma	Berber (Middle Atlas)	1	No case marking	33.0	-5.0	Berber	Afro-Asiatic	Morphology
brh	Brahui	4	No syncretism	28.5	67.0	Dravidian	Dravidian	Morphology
bri	Bribri	1	No case marking	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Morphology
brm	Burmese	1	No case marking	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Morphology
